Filename | Threshold | CountOfNodes

cartoon1.jpg | 0 | 1455445
cartoon1.jpg | 50 | 90817
cartoon1.jpg | 100 | 47103
cartoon1.jpg | 150 | 25277
cartoon1.jpg | 200 | 17381
cartoon1.jpg | 250 | 12847
cartoon1.jpg | 300 | 10059
cartoon1.jpg | 350 | 8039
cartoon1.jpg | 400 | 6231
cartoon1.jpg | 450 | 4753
cartoon1.jpg | 500 | 3097
cartoon1.jpg | 550 | 1809
cartoon1.jpg | 600 | 577
cartoon1.jpg | 650 | 69
cartoon1.jpg | 700 | 1
cartoon2.jpg | 0 | 1455445
cartoon2.jpg | 50 | 223989
cartoon2.jpg | 100 | 112319
cartoon2.jpg | 150 | 62917
cartoon2.jpg | 200 | 38429
cartoon2.jpg | 250 | 23767
cartoon2.jpg | 300 | 14231
cartoon2.jpg | 350 | 8965
cartoon2.jpg | 400 | 6055
cartoon2.jpg | 450 | 3761
cartoon2.jpg | 500 | 2201
cartoon2.jpg | 550 | 1275
cartoon2.jpg | 600 | 499
cartoon2.jpg | 650 | 181
cartoon2.jpg | 700 | 81
city.jpg | 0 | 1455445
city.jpg | 50 | 287045
city.jpg | 100 | 158849
city.jpg | 150 | 98707
city.jpg | 200 | 63231
city.jpg | 250 | 41193
city.jpg | 300 | 27359
city.jpg | 350 | 16943
city.jpg | 400 | 9939
city.jpg | 450 | 5293
city.jpg | 500 | 2305
city.jpg | 550 | 673
city.jpg | 600 | 193
city.jpg | 650 | 69
city.jpg | 700 | 1
nature.jpg | 0 | 1455445
nature.jpg | 50 | 130199
nature.jpg | 100 | 64171
nature.jpg | 150 | 41569
nature.jpg | 200 | 30417
nature.jpg | 250 | 24203
nature.jpg | 300 | 19505
nature.jpg | 350 | 16467
nature.jpg | 400 | 13179
nature.jpg | 450 | 10101
nature.jpg | 500 | 6435
nature.jpg | 550 | 2565
nature.jpg | 600 | 497
nature.jpg | 650 | 77
nature.jpg | 700 | 1
paints.jpg | 0 | 1455445
paints.jpg | 50 | 171737
paints.jpg | 100 | 68041
paints.jpg | 150 | 34643
paints.jpg | 200 | 19201
paints.jpg | 250 | 11215
paints.jpg | 300 | 6195
paints.jpg | 350 | 3261
paints.jpg | 400 | 1501
paints.jpg | 450 | 797
paints.jpg | 500 | 315
paints.jpg | 550 | 117
paints.jpg | 600 | 77
paints.jpg | 650 | 1
paints.jpg | 700 | 1
space.jpg | 0 | 1455445
space.jpg | 50 | 551999
space.jpg | 100 | 327157
space.jpg | 150 | 205553
space.jpg | 200 | 127001
space.jpg | 250 | 80603
space.jpg | 300 | 51693
space.jpg | 350 | 32309
space.jpg | 400 | 19559
space.jpg | 450 | 11435
space.jpg | 500 | 6077
space.jpg | 550 | 2347
space.jpg | 600 | 819
space.jpg | 650 | 93
space.jpg | 700 | 1
text.jpg | 0 | 1455445
text.jpg | 50 | 36139
text.jpg | 100 | 23911
text.jpg | 150 | 18925
text.jpg | 200 | 15129
text.jpg | 250 | 10927
text.jpg | 300 | 5941
text.jpg | 350 | 1877
text.jpg | 400 | 547
text.jpg | 450 | 119
text.jpg | 500 | 1
text.jpg | 550 | 1
text.jpg | 600 | 1
text.jpg | 650 | 1
text.jpg | 700 | 1
