Filename | Threshold | TimeToBuildTree(seconds) | TimeToGetImage(seconds)

cartoon1.jpg | 0 | 4.495 | 1.601
cartoon1.jpg | 50 | 3.522 | 0.710
cartoon1.jpg | 100 | 3.515 | 0.677
cartoon1.jpg | 150 | 3.556 | 0.660
cartoon1.jpg | 200 | 3.525 | 0.635
cartoon1.jpg | 250 | 3.549 | 0.640
cartoon1.jpg | 300 | 3.562 | 0.622
cartoon1.jpg | 350 | 3.558 | 0.616
cartoon1.jpg | 400 | 3.533 | 0.616
cartoon1.jpg | 450 | 3.565 | 0.614
cartoon1.jpg | 500 | 3.563 | 0.641
cartoon1.jpg | 550 | 3.559 | 0.643
cartoon1.jpg | 600 | 3.541 | 0.681
cartoon1.jpg | 650 | 3.504 | 0.640
cartoon1.jpg | 700 | 3.497 | 0.623
cartoon2.jpg | 0 | 5.308 | 1.639
cartoon2.jpg | 50 | 3.517 | 0.840
cartoon2.jpg | 100 | 4.621 | 0.774
cartoon2.jpg | 150 | 3.560 | 0.710
cartoon2.jpg | 200 | 3.658 | 0.684
cartoon2.jpg | 250 | 3.646 | 0.670
cartoon2.jpg | 300 | 3.556 | 0.650
cartoon2.jpg | 350 | 3.577 | 0.656
cartoon2.jpg | 400 | 3.543 | 0.680
cartoon2.jpg | 450 | 3.532 | 0.655
cartoon2.jpg | 500 | 3.563 | 0.638
cartoon2.jpg | 550 | 3.593 | 0.638
cartoon2.jpg | 600 | 3.610 | 0.637
cartoon2.jpg | 650 | 3.546 | 0.633
cartoon2.jpg | 700 | 3.541 | 0.631
city.jpg | 0 | 4.370 | 1.671
city.jpg | 50 | 4.927 | 0.902
city.jpg | 100 | 3.596 | 0.811
city.jpg | 150 | 3.918 | 0.756
city.jpg | 200 | 3.786 | 0.703
city.jpg | 250 | 3.627 | 0.693
city.jpg | 300 | 3.655 | 0.679
city.jpg | 350 | 3.553 | 0.667
city.jpg | 400 | 3.655 | 0.657
city.jpg | 450 | 3.554 | 0.652
city.jpg | 500 | 3.572 | 0.646
city.jpg | 550 | 3.563 | 0.634
city.jpg | 600 | 3.570 | 0.633
city.jpg | 650 | 3.514 | 0.639
city.jpg | 700 | 3.554 | 0.622
nature.jpg | 0 | 4.398 | 1.649
nature.jpg | 50 | 4.949 | 0.781
nature.jpg | 100 | 3.556 | 0.738
nature.jpg | 150 | 3.549 | 0.694
nature.jpg | 200 | 3.552 | 0.685
nature.jpg | 250 | 3.563 | 0.707
nature.jpg | 300 | 3.586 | 0.668
nature.jpg | 350 | 3.582 | 0.665
nature.jpg | 400 | 3.914 | 0.743
nature.jpg | 450 | 3.699 | 0.649
nature.jpg | 500 | 3.556 | 0.642
nature.jpg | 550 | 3.557 | 0.637
nature.jpg | 600 | 3.668 | 0.646
nature.jpg | 650 | 3.537 | 0.630
nature.jpg | 700 | 3.516 | 0.689
paints.jpg | 0 | 4.488 | 1.645
paints.jpg | 50 | 4.964 | 0.815
paints.jpg | 100 | 3.547 | 0.721
paints.jpg | 150 | 3.560 | 0.711
paints.jpg | 200 | 3.673 | 0.688
paints.jpg | 250 | 3.569 | 0.677
paints.jpg | 300 | 3.563 | 0.662
paints.jpg | 350 | 3.565 | 0.660
paints.jpg | 400 | 3.559 | 0.637
paints.jpg | 450 | 3.587 | 0.647
paints.jpg | 500 | 3.562 | 0.656
paints.jpg | 550 | 3.554 | 0.635
paints.jpg | 600 | 3.556 | 0.666
paints.jpg | 650 | 3.546 | 0.628
paints.jpg | 700 | 3.527 | 0.622
space.jpg | 0 | 4.537 | 1.648
space.jpg | 50 | 4.911 | 1.083
space.jpg | 100 | 4.129 | 0.937
space.jpg | 150 | 3.947 | 0.854
space.jpg | 200 | 4.043 | 0.778
space.jpg | 250 | 3.548 | 0.733
space.jpg | 300 | 3.839 | 0.767
space.jpg | 350 | 3.593 | 0.706
space.jpg | 400 | 3.599 | 0.704
space.jpg | 450 | 3.563 | 0.701
space.jpg | 500 | 3.562 | 0.675
space.jpg | 550 | 3.562 | 0.651
space.jpg | 600 | 3.587 | 0.643
space.jpg | 650 | 3.518 | 0.634
space.jpg | 700 | 3.816 | 0.628
text.jpg | 0 | 4.430 | 1.792
text.jpg | 50 | 3.521 | 0.686
text.jpg | 100 | 3.522 | 0.672
text.jpg | 150 | 3.519 | 0.667
text.jpg | 200 | 3.523 | 0.659
text.jpg | 250 | 3.531 | 0.652
text.jpg | 300 | 3.545 | 0.650
text.jpg | 350 | 3.547 | 0.642
text.jpg | 400 | 3.495 | 0.633
text.jpg | 450 | 3.563 | 0.632
text.jpg | 500 | 3.533 | 0.619
text.jpg | 550 | 3.483 | 0.623
text.jpg | 600 | 3.487 | 0.623
text.jpg | 650 | 3.519 | 0.620
text.jpg | 700 | 3.493 | 0.619
